filename	is_connected	largest_cc_nodes	total_nodes	largest_cc_ratio
1000569.npz	False	21	178	0.11797752808988764
1000570.npz	False	167	268	0.6231343283582089
1000588.npz	False	150	254	0.5905511811023622
1001530.npz	False	330	558	0.5913978494623656
1001585.npz	False	1007	1398	0.7203147353361946
100226.npz	False	1063	1423	0.7470133520730851
1002339.npz	False	193	431	0.44779582366589327
1002672.npz	False	363	506	0.717391304347826
1002804.npz	False	351	516	0.6802325581395349
1003195.npz	False	237	499	0.4749498997995992
1003200.npz	False	493	896	0.5502232142857143
1004836.npz	False	163	428	0.3808411214953271
1005048.npz	False	872	1247	0.6992782678428228
1005057.npz	False	174	217	0.8018433179723502
1005058.npz	False	127	352	0.36079545454545453
1005090.npz	False	180	231	0.7792207792207793
1005705.npz	False	177	260	0.6807692307692308
1006006.npz	False	326	440	0.740909090909091
1006551.npz	False	1313	1819	0.7218251786695987
1007104.npz	False	288	441	0.6530612244897959
1007105.npz	False	779	1069	0.7287184284377923
1008459.npz	False	291	470	0.6191489361702127
10090.npz	False	12312	12498	0.985117618819011
1009370.npz	False	95	443	0.2144469525959368
10116.npz	False	9067	9439	0.9605890454497299
10141.npz	False	18	165	0.10909090909090909
101510.npz	False	1527	1812	0.8427152317880795
10228.npz	False	787	1353	0.581670362158167
1026882.npz	False	54	372	0.14516129032258066
1027292.npz	False	209	659	0.3171471927162367
1028307.npz	False	1145	1529	0.7488554610856769
1028803.npz	False	161	320	0.503125
1028805.npz	False	166	317	0.5236593059936908
1029718.npz	False	170	315	0.5396825396825397
1031711.npz	False	664	868	0.7649769585253456
1032480.npz	False	746	996	0.748995983935743
1033802.npz	False	135	420	0.32142857142857145
1033806.npz	False	425	575	0.7391304347826086
1033810.npz	False	150	309	0.4854368932038835
1033837.npz	False	300	421	0.7125890736342043
1034807.npz	False	459	557	0.8240574506283662
1034808.npz	False	12	67	0.1791044776119403
1035184.npz	False	152	296	0.5135135135135135
1035188.npz	False	224	399	0.5614035087719298
1035189.npz	False	116	236	0.4915254237288136
1036673.npz	False	912	1681	0.5425342058298632
1036674.npz	False	193	347	0.5561959654178674
103690.npz	False	673	997	0.675025075225677
1037409.npz	False	1228	1839	0.6677542142468733
1040964.npz	False	102	307	0.3322475570032573
1041504.npz	False	202	330	0.6121212121212121
1041826.npz	False	404	511	0.7906066536203522
1042156.npz	False	421	597	0.7051926298157454
1042163.npz	False	204	462	0.44155844155844154
1042876.npz	False	1095	1465	0.7474402730375427
1042877.npz	False	235	351	0.6695156695156695
1045854.npz	False	202	307	0.6579804560260586
1045855.npz	False	670	871	0.7692307692307693
1045856.npz	False	429	668	0.6422155688622755
1045858.npz	False	349	604	0.5778145695364238
1046627.npz	False	60	260	0.23076923076923078
1046629.npz	False	369	524	0.7041984732824428
1048834.npz	False	623	753	0.8273572377158035
1051632.npz	False	693	855	0.8105263157894737
1051646.npz	False	401	717	0.5592747559274756
1052684.npz	False	73	307	0.23778501628664495
1054460.npz	False	376	527	0.713472485768501
105559.npz	False	574	712	0.8061797752808989
106370.npz	False	731	893	0.8185890257558791
1064535.npz	False	473	591	0.8003384094754653
1064539.npz	False	421	672	0.6264880952380952
1064592.npz	False	899	1432	0.6277932960893855
1069533.npz	False	383	532	0.7199248120300752
1071378.npz	False	892	1424	0.6264044943820225
1071381.npz	False	867	1376	0.6300872093023255
1074889.npz	False	187	221	0.8461538461538461
1075399.npz	False	172	214	0.8037383177570093
107806.npz	False	167	240	0.6958333333333333
1082931.npz	False	666	1083	0.6149584487534626
1085623.npz	False	647	833	0.7767106842737095
1097668.npz	False	1283	1755	0.7310541310541311
1104324.npz	False	408	517	0.7891682785299806
110662.npz	False	477	605	0.7884297520661157
1110509.npz	False	403	548	0.7354014598540146
1111069.npz	False	583	722	0.8074792243767313
1111676.npz	False	48	82	0.5853658536585366
1112204.npz	False	949	1221	0.7772317772317773
1114970.npz	False	915	1041	0.8789625360230547
1116231.npz	False	376	569	0.6608084358523726
1116375.npz	False	981	1326	0.7398190045248869
1117943.npz	False	710	1036	0.6853281853281853
1127134.npz	False	844	1090	0.7743119266055046
